date,ASIANPAINT.NS,AXISBANK.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,ONGC.NS,RELIANCE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2019-10-24,0,-13,0,0,-37,100,0,0,-100,0,0,0,0,0,-17,0,71,0,0,0,100,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,-99
2019-10-25,0,0,0,0,0,-100,0,-80,0,-12,97,-12,-4,0,0,0,0,0,0,-2,-55,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,3,0
2019-10-29,0,0,0,0,0,-83,0,0,0,0,0,-51,0,0,0,3,-2,0,0,0,-39,0,0,0,71,-2,0,-4,0,0,0,0,-100,100,0,0,0,0,0,0,0,0
2019-10-30,0,0,33,0,0,0,0,100,0,0,-97,-12,0,0,0,-3,0,0,0,0,-6,0,0,0,0,1,0,0,0,0,-86,0,-80,-100,0,0,0,4,-47,0,100,0
2019-10-31,0,0,-33,49,0,0,0,100,0,0,0,0,0,0,0,0,0,1,0,-29,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-72
2019-11-01,78,-36,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,-100,0
2019-11-04,0,0,0,-14,0,0,96,0,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-80,100,0,11,0,0,0,0,0,0,0,0,0,-4,0,0,-100,0
2019-11-05,0,-51,0,0,0,-4,-21,0,0,0,0,-53,0,0,0,8,-9,-1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,43,0,-54
2019-11-06,100,0,33,-35,0,0,0,-100,-62,0,0,-95,0,0,0,-8,0,0,0,0,0,2,0,0,0,-39,0,-11,0,0,0,0,0,0,100,0,0,0,4,-23,0,0
2019-11-07,0,100,0,28,0,0,-75,0,-8,0,0,0,0,0,0,0,0,100,0,0,0,-2,1,0,100,0,0,1,0,0,0,0,0,0,-90,0,0,0,-4,-20,-7,-100
2019-11-08,-46,-100,-33,0,100,0,0,4,0,0,0,0,0,0,0,100,0,-100,0,0,0,0,81,0,0,100,0,-1,0,0,0,0,0,0,-10,0,100,0,0,37,0,0
2019-11-11,0,0,0,0,0,0,84,-4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,-100,0,0,100,0,0,0,0,0,0,0,-100,0,0,0,0,0
2019-11-13,-44,0,69,0,-20,18,-84,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,-69,-17,0,0,-100,0,0,0,0,0,0,0,0,0,0,-37,0,0
2019-11-14,-34,100,-69,0,-37,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,6,0,-31,100,0,0,0,0,0,7,0,100,0,0,0,0,0,100,0,100
2019-11-15,100,-100,0,-19,0,-18,0,0,0,0,0,0,0,0,45,-18,0,0,0,0,100,0,71,0,0,-30,0,0,0,0,6,0,0,-40,0,0,0,0,100,-57,0,-28
2019-11-18,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,-100,0,0,-54,0,0,0,0,1,0,0,-60,0,0,0,0,0,0,0,-72
2019-11-19,0,0,0,-9,0,0,0,100,40,0,0,0,0,0,100,-86,0,0,0,0,-100,0,-57,0,0,-19,0,0,0,0,0,0,2,0,1,0,0,0,-100,-43,0,100
2019-11-20,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,4,0,0,0,0,0,0,-2,0,0,-49,0,0,0,0,0,-7,0,0,-1,0,0,0,0,0,0,0
2019-11-21,-2,0,0,0,-43,0,0,-2,-40,0,0,0,0,0,0,-4,0,0,0,0,0,1,0,0,80,-24,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0
2019-11-22,-100,0,0,28,0,0,0,-24,0,0,0,0,0,0,-1,0,0,0,0,0,100,0,0,0,-44,0,0,0,0,0,-8,0,0,0,16,0,0,0,100,0,0,0
2019-11-25,-19,0,23,-18,100,0,0,-74,0,1,0,0,0,0,0,0,0,0,0,0,100,0,0,0,-36,-69,0,0,10,0,0,0,0,0,-16,0,0,0,-16,0,0,-100
2019-11-26,0,0,-19,-10,-18,0,0,0,0,100,51,0,1,0,-87,0,0,0,0,0,100,-1,0,0,0,0,0,100,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-27,0,100,0,29,0,6,0,0,0,-34,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,-14,0,0,0,0,0,0,0,0,0,-84,0,0,1
2019-11-28,0,0,-4,-29,0,0,0,0,0,0,-51,0,-1,0,-15,0,0,0,0,0,100,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,69,0,0
2019-11-29,0,0,0,67,-82,100,0,0,0,-51,0,0,0,0,-77,0,100,0,0,0,100,100,-1,0,0,0,0,0,13,0,0,0,0,100,0,0,0,0,0,-47,0,-100
2019-12-02,0,-91,0,0,0,0,0,0,0,-45,0,0,0,0,-26,0,0,1,0,0,-100,-42,0,0,0,0,0,100,-5,0,0,0,0,-77,0,0,0,-2,1,68,0,0
2019-12-03,0,0,51,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,-28,-57,0,0,0,0,0,57,0,0,100,0,0,-23,0,0,0,0,-1,-63,0,-11
2019-12-04,0,-9,-51,0,79,-16,0,0,100,-31,0,0,0,0,43,0,0,100,0,0,2,0,0,0,100,0,0,-17,0,0,-100,0,0,0,93,0,100,0,0,-27,0,0
2019-12-05,0,0,0,0,-79,-49,0,0,0,100,0,0,0,0,0,0,-100,-100,0,0,0,-1,0,19,-10,0,0,3,100,0,0,0,1,0,0,0,0,0,0,0,0,-26
2019-12-06,100,0,0,0,0,3,0,0,0,-35,0,0,0,0,0,0,0,-98,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,-1,1,0,0,-6,0,0,0,0,0
2019-12-09,-100,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-65,0,0,-19,0,0,0,1,0,0,0,0,0,0,-76,0,0,0,0,2,0,0
2019-12-10,100,0,0,0,0,0,0,23,0,0,0,0,0,0,-13,0,0,0,0,0,-75,0,1,0,-8,0,0,1,-100,0,0,0,0,-1,0,0,-94,100,0,-2,0,0
2019-12-11,0,0,0,0,0,0,100,-23,-100,0,0,0,0,0,-30,0,0,0,0,0,0,0,-1,0,-82,0,0,10,0,0,0,0,0,0,-17,0,0,0,0,11,0,100
2019-12-12,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-9,0,0,0,0,0,7,0,0,0,0,-11,0,-39
2019-12-13,-25,0,-13,0,0,-34,-64,0,0,-65,100,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,100,-62,0,0,0,0
